"accenture","Call 800-accenture and ask for free audio advertising report."
"adidas","Amazon audio coupon, say ‘Alexa, 5% off Adidas’"
"adobe","Call 1-800-Adobe and ask for audio ad coupon code"
"a i g","Call 1-800-AIG and ask for ‘audio ad coupon’ 5% off your first month’s insurance."
"allianz","Free 10-Day Look With Global Assistance"
"amazon","$5 Cash Back for Purchases of $35+ on Clothing"
"american express","No Purchase Fees When You Spend $200+ on gift cards, code 17AUG200"
"apple","Up to $300 Off a New Mac And Up to $20 Off a New iPad With Apple Education Pricing"
"a t and t","$200 In Credits With Eligible Samsung Galaxy And Trade In an Eligible Smartphone"
"audi","Service Discount, Complementary vehicle inspection, battery test, and A C system inspection"
"b of a","Free Admission To Museums for Bank of America Customers"
"avon","Let's Makeup Beauty Set for $10 With $40 Sitewide Purchase"
"bank of america","Free Admission To Museums for Bank of America Customers"
"barbie","Free Shipping on $39+"
"b a s f","Save Up to 25% Off Select BASF Products at Amazon"
"b b v a ","Typical bonus amounts are $25, $50, $100, $125, $250, etc. Sometimes there will also gift bonuses, such as tablets and other electronics."
"bing","Follow Bing Ads on Twitter & Facebook and Receive the Latest Product News & Updates"
"b m w","Free Shipping on Orders $99 at BMW online store"
"boeing","10% Off Sitewide"
"bud light","Get $1.00 back from CouponCabin on the purchase of any single product by Budweiser. Ends Sept. 30, 2017."
"budweiser","Get $1.00 back from CouponCabin on the purchase of any single product by Budweiser. Ends Sept. 30, 2017."
"burger king","Get Fresh offers 2 for $5"
"cadillac","UP TO A $100 MAIL-IN REBATE ON A SET OF FOUR TIRES"
"calvin klein","25% Off Sitewide"
"cartier","Hamilton Mens Timeless Classic Thin-O-Matic Auto Watch Model: H38715131 Retail: $945 Special: $429"
"castrol","NFL Fleece Throw Promotion"
"caterpillar","Shop Caterpillar Apparel, Footwear & Accessories"
"chanel","Up to 30% Off Footwear"
"chase","Get $200 Chase Checking Coupon for opening an account"
"chevrolet","$49.95 or less ACDelco dexos1TM Full Synthetic"
"chevron","8-Quart Oil Change"
"cisco","50% Off When You Purchase Two Or More Learning Products "
"citi","Online bonus for opening a checking and savings account, $300"
"citibank","Online bonus for opening a checking and savings account, $300"
"c n n","$1 Off Tickets to CNN Studio Tour"
"coach","10% Off Your Purchase"
"coca cola","15% Off Next Order With Newsletter Subscription"
"colgate","Savings await! Enter your email below to access up to $7 in coupons"
"corona","Coupon CORONAFRIDAY, 20% Off all orders $60 or more"
"costco","$5 Off Cottonelle Ultra Comfort Jumbo Roll Toilet Paper"
"crest","10% Off Your Purchase"
"c v s","Save up to 30% with these official CVS coupons & promotions"
"danone","20% off any purchase of yogurt in your local grocery store"
"dell","Free Ground Shipping on Orders of $99+"
"e m c","Enjoy up to 40% savings on a selection of popular items at Education.emc.com"
"disney","10% Off Your Purchase"
"dominos","Any 2 Or More medium one topping pizzas for $5.99 Each"
"duracell","Up to 70% Off Final Sale Items"
"ebay","earn 2% cash back with Ebay Bucks on almost all purchases"
"energizer","Up to 70% Off Final Sale Items"
"e s p n","Save 10% Off using Coupon Code ESPNSHOP10"
"esso","Coupon Code LABOR Save 50% Off Sitewide"
"estee lauder","Extra 15% Off Select Womens Underwear"
"facebook","$125 Facebook Advertising Coupon Codes"
"fedex","$10 off $50 print order NAT813"
"forbes","35% Off all orders"
"ford","Secret Savings! $10 To $1,000 Off Your Next Purchase"
"fox","7% Off Spring & Summer 2017 Car Rentals"
"frito lay","15% Off Next Order With Newsletter Subscription"
"gap","$10 Cash Back for Online Purchase of $75+ "
"gatorade","10% Off Your Purchase"
"g e","Extra 10% Off Your Order "
"general electric","Extra 10% Off Your Order "
"gillette","Free Ground Shipping on Orders of $99+"
"goldman sachs","Free wealth or retirement consultation and evaluation."
"goodyear","Semi-Annual Clearance Sale - Up to 60% Off"
"google","20% Off Your First Purchase - Up to $30"
"gucci","Bonus Entry To Win a $20,000 Shopping Spree"
"h and m","10% Off Your Purchase"
"harley davidson","Bid on Harley-Davidson Clothing, Shoes, And Accessories on eBay And Get Discounts!"
"head and shoulders","Save $1 with printable coupon"
"heineken","Up to 50% Off Just Reduced"
"heinz","Save 50 cents with printable coupon at the grocery store"
"hellmanns","save 25 cents with printable coupon at your local grocery store. "
"hermes","$15 Off Purchases of $150 Or More When You Use Your Visa Card"
"hershey","Save on clearance items and free shipping over $50"
"hilton","Save $50 off of a hotel stay of $250 or more. "
"home depot","10% Off Your Purchase"
"honda","Get a free gift card with test drive"
"h p","get free shipping on any machine over $400"
"h s b c","Get a sign up bonus when you open a new chacking, savings, and credit account. "
"huawei","Up to 70% Off Final Sale Items"
"hyatt","Save 10% off of your vacation stay with coupon code HYATT"
"hyundai","FREE test drive and coupons for free service. "
"i b m","Free FedEx SmartPost Shipping Sitewide"
"ikea","60% Off Select Home Styles"
"intel","Get free shipping on your order when you spend ovewr $100"
"i phone","Get a free I phone when you buy one at t mobile."
"j p  morgan","Free $50 bonus when you open a new checking account. "
"jeep","Get a free test drive"
"johnson and johnson","Save $10 by maiul in rebate when you purchase over $50 of johnson and johnson products. "
"kelloggs","Mail in rebate offer when you prurchase 3 Kelloggs cereal items. "
"kentucky fried chicken","Up to 70% Off Final Sale Items"
"kleenex","Cold and Flu season is here. Save with 10% with Kleenex. "
"kraft","Save on kraft cheese when you buy 3 or more. "
"lancome","4 Pc Sample & Free Shipping Over $49 + Bonus Sample on Orders $75+"
"lego","Free LEGO NINJAGO Movie Mini Green Ninja Mech Dragon With Order of $35+"
"levis","Get 10% off your next online order. "
"lexus","Free test drive. "
"loreal","Up to an Extra 60% Off Top Selling Products"
"louis vuitton","Get a free key chain with purchase of $1000 or more. "
"lowes","Save 10% wiith movers discount. "
"m and ms","Buy one get one free coupon "
"mastercard","Up to 50% Off Just Reduced"
"max factor","Get your makeup on the chap. Save 10% with coupon MAX2017"
"mcdonalds","Buy one get one free big mac. "
"mercedes","Free test drive and service coupons. "
"mercedes benz","20% Off & Free Shipping"
"microsoft","Get windows 10 free!"
"mobil","Save $10 on your next mobil oil purchase. "
"motorola","Bonus Entry To Win a $20,000 Shopping Spree"
"m t v","I want my M T V. Save 10% or more at the MTV store. "
"mycroft","Up to 70% Off Final Sale Items"
"nescafe","Save on instant coffee. "
"nestle","Save at the checkout stand. $1.00 printable coupon. "
"netflix","Get 45 days free when you sign up."
"nike","Free Shipping on $150+"
"nissan","Free test drive"
"nivea","Get free travel lotion when you buy any full size product. "
"oracle","Semi-Annual Clearance Sale - Up to 60% Off"
"pampers","Save $5 on yourt next purchase with printable coupon. "
"panasonic","Up to 70% Off Final Sale Items"
"pepsi","Save big on Pepsi when you buy with qualifying snacks. Mail in rebate. "
"philips","20% Off & Free Shipping"
"playboy","Buy one get one free magazine. "
"porsche","Secret Savings! $10 To $1,000 Off Your Next Purchase"
"procter gamble","Up to 50% Off Just Reduced"
"procter and gamble","Up to 50% Off Just Reduced"
"ralph lauren","Save 10% off your next online order and get free shipping"
"red bull","Buy in bulk, 24 packs from $12 when you pruchase at Amazon"
"revlon","Up to 70% Off Select Styles + Free Shipping"
"rolex","Save $500 or more when you trade in your old rolex. "
"s a a b","Free test drive."
"s a b miller","Inbev purchase, save money on your beer. "
"samsung","15% Off Next Order With Newsletter Subscription"
"santander","Get free shipping when you spend over $50."
"s a p","95% Off SAP LSMW for Beginners Course"
"sears","Earn 1 VIP Point for Every Dollar Spend + $5 Reward for 100 Points Earned"
"siemens","Free Shipping on $150+"
"sony","Save 10% off with coupon code SONY2017"
"sprint","Get your family on the same plan. 4 Lines of unlimited service for a great price. "
"starbucks","Save big with starbucks store online closing. "
"subway","Get your $6 foot long sub, fill out the survey and get a free cookie. "
"target","Free Standard Ground Shipping on Orders of $35+"
"home depot","Free Ground Shipping on Orders of $99+"
"tide","Save $1.00 on your next purchase with printable coupon. "
"t mobile","Tmobile ONE, unlimited everything for one low price. "
"toyota","Semi-Annual Clearance Sale - Up to 60% Off"
"u p s","Save 10% off retail services at the U P S store. "
"verizon","Free phone with qualifying service contract. "
"viagra","Save on Viagra. Ask your doctor if it is right for you."
"victorias secret","Up to 30% Off With Minimum Spend on All of Your Wedding Essentials"
"visa","No foreign transaction fees with VISA explorer card. "
"walgreens","Up to 50% Off Just Reduced"
"walmart","Up to 85% Off Electronics Clearance"
"wells fargo","Sign up bonus when you open a new checking account"
"western union","Save money when you send money. 10% off fees to send domesticv cash."
"windows","Get windows 10 free!"
"wrigley","Save 25 cents when you purchase from your local grocery store. "
"xerox","$50 Off Phaser 6500 Color Laser Printer"
"yahoo","1,000 Yahoo Sports Rewards Points With First Daily Fantasy Deposit"
"you tube","Free Youtube Downloader"
"zara","Free Standard Shipping on $50+"
